IID,ancestry,white_brit,Unnamed: 0
4950104,United Kingdom,1,49307
5558960,United Kingdom,1,290304
3158518,United Kingdom,1,445636
1147782,United Kingdom,1,422096
4438484,United Kingdom,1,271075
4789569,United Kingdom,1,18860
1859490,United Kingdom,1,225558
5491157,United Kingdom,1,79040
2322679,United Kingdom,1,349009
4191412,United Kingdom,1,238438
3587902,United Kingdom,1,465507
3509910,United Kingdom,1,2829
2648344,United Kingdom,1,334648
5613454,United Kingdom,1,363848
2355102,United Kingdom,1,309826
2346488,United Kingdom,1,271871
3336792,United Kingdom,1,23253
5323818,United Kingdom,1,91135
1618411,United Kingdom,1,82684
5256030,United Kingdom,1,484829
5690902,United Kingdom,1,299808
1477978,United Kingdom,1,263664
5429908,United Kingdom,1,442724
5079845,United Kingdom,1,475866
2168514,United Kingdom,1,198763
4531502,United Kingdom,1,268728
3878620,United Kingdom,1,383342
3258701,United Kingdom,1,257320
1046718,United Kingdom,1,341644
2948938,United Kingdom,1,253068
1677066,United Kingdom,1,157020
5737013,United Kingdom,1,238159
4769044,United Kingdom,1,322550
1555283,United Kingdom,1,467166
2950811,United Kingdom,1,264729
4711323,United Kingdom,1,332422
1646706,United Kingdom,1,328403
3064344,United Kingdom,1,71417
1539998,United Kingdom,1,135356
1575620,United Kingdom,1,29071
1823775,United Kingdom,1,266708
4968777,United Kingdom,1,254299
4690311,United Kingdom,1,450144
2785236,United Kingdom,1,45849
4100721,United Kingdom,1,385219
1352395,United Kingdom,1,284607
3482638,United Kingdom,1,205409
5455007,United Kingdom,1,330069
5487222,United Kingdom,1,186629
4683187,United Kingdom,1,108600
1858340,United Kingdom,1,356274
5417716,United Kingdom,1,4308
5492273,United Kingdom,1,456915
3122631,United Kingdom,1,212929
2105891,United Kingdom,1,389082
1847831,United Kingdom,1,40948
1279112,United Kingdom,1,407242
3722353,United Kingdom,1,41161
1224882,United Kingdom,1,246397
2060632,United Kingdom,1,84337
2102203,United Kingdom,1,35363
4199613,United Kingdom,1,175633
2688130,United Kingdom,1,335009
4484656,United Kingdom,1,174945
4925724,United Kingdom,1,290883
2852962,United Kingdom,1,23089
5937228,United Kingdom,1,286030
4014086,United Kingdom,1,291654
1889283,United Kingdom,1,353093
1710585,United Kingdom,1,21098
2724772,United Kingdom,1,403232
3665991,United Kingdom,1,162542
5507564,United Kingdom,1,287115
3633605,United Kingdom,1,131832
2218063,United Kingdom,1,246412
1695568,United Kingdom,1,110017
3077686,United Kingdom,1,171649
2805466,United Kingdom,1,232234
2122493,United Kingdom,1,272849
4716491,United Kingdom,1,118322
3966344,United Kingdom,1,216603
3962907,United Kingdom,1,97562
1978379,United Kingdom,1,298123
4128020,United Kingdom,1,62863
3912853,United Kingdom,1,285890
1843428,United Kingdom,1,164664
5173666,United Kingdom,1,243929
1694828,United Kingdom,1,220761
1048679,United Kingdom,1,53348
3852939,United Kingdom,1,447727
1039873,United Kingdom,1,259585
2917758,United Kingdom,1,390780
3531297,United Kingdom,1,39157
2369073,United Kingdom,1,111622
5869097,United Kingdom,1,448439
3332612,United Kingdom,1,913
4473109,United Kingdom,1,354566
4561847,United Kingdom,1,77976
4735225,United Kingdom,1,273394
1126840,United Kingdom,1,346295
1611660,United Kingdom,1,92170
4911811,United Kingdom,1,246381
2687816,United Kingdom,1,43621
5560988,United Kingdom,1,56549
1095701,United Kingdom,1,432040
4837385,United Kingdom,1,308254
5059354,United Kingdom,1,84765
5377057,United Kingdom,1,178919
3145011,United Kingdom,1,410696
1198640,United Kingdom,1,184616
1627155,United Kingdom,1,443000
4690480,United Kingdom,1,388537
4455511,United Kingdom,1,356411
4832117,United Kingdom,1,228983
2468637,United Kingdom,1,182752
3759638,United Kingdom,1,428706
3162933,United Kingdom,1,473627
1453520,United Kingdom,1,209004
5931260,United Kingdom,1,176658
5969134,United Kingdom,1,307660
5537082,United Kingdom,1,55657
1758910,United Kingdom,1,120840
2572146,United Kingdom,1,411323
4833744,United Kingdom,1,195811
2233320,United Kingdom,1,475806
3547563,United Kingdom,1,462925
2669557,United Kingdom,1,116224
4081538,United Kingdom,1,209869
1262660,United Kingdom,1,326577
3567955,United Kingdom,1,8034
3681487,United Kingdom,1,296492
5375693,United Kingdom,1,207331
2197502,United Kingdom,1,358739
5357635,United Kingdom,1,418779
1751089,United Kingdom,1,69726
2267831,United Kingdom,1,224860
3911127,United Kingdom,1,310741
2416526,United Kingdom,1,157046
2078690,United Kingdom,1,460264
2471853,United Kingdom,1,313317
3257821,United Kingdom,1,445798
5164352,United Kingdom,1,134173
3181198,United Kingdom,1,283799
2441373,United Kingdom,1,368451
3537184,United Kingdom,1,478299
1571087,United Kingdom,1,221269
4200006,United Kingdom,1,431267
5364292,United Kingdom,1,26474
4727997,United Kingdom,1,59128
1461613,United Kingdom,1,322243
2102308,United Kingdom,1,298092
3688700,United Kingdom,1,24211
4753505,United Kingdom,1,149495
2020158,United Kingdom,1,60951
5068236,United Kingdom,1,271720
1556007,United Kingdom,1,262652
1470134,United Kingdom,1,276756
1264232,United Kingdom,1,354762
2114508,United Kingdom,1,404745
1581562,United Kingdom,1,471413
1132548,United Kingdom,1,131185
